,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1
23719,2025-09-05 03:45:00,186.083069,52.96866,40.4571152
23720,2025-09-05 04:00:00,186.9039,52.877903,40.5145073
23721,2025-09-05 04:15:00,186.565155,53.6714,40.74472
23722,2025-09-05 04:30:00,185.9937,53.0172539,40.3948479
23723,2025-09-05 04:45:00,184.517868,52.6714,40.5145531
23724,2025-09-05 05:00:00,181.305847,51.11173,39.92514
23725,2025-09-05 05:15:00,181.090652,50.9453125,39.7264061
23726,2025-09-05 05:30:00,182.102188,51.07569,40.2229271
23727,2025-09-05 05:45:00,184.631744,52.9770432,40.7238274
23728,2025-09-05 06:00:00,185.265213,52.7614174,40.5262947
23729,2025-09-05 06:15:00,184.51062,52.610096,40.404026
23730,2025-09-05 06:30:00,184.767059,52.64006,40.3404655
23731,2025-09-05 06:45:00,183.456528,52.2038574,40.22745
23732,2025-09-05 07:00:00,182.519562,51.2605476,40.4593658
23733,2025-09-05 07:15:00,180.576477,50.3365326,39.62324
23734,2025-09-05 07:30:00,185.063675,52.3034248,40.5486259
23735,2025-09-05 07:45:00,184.805939,52.458992,40.9208145
23736,2025-09-05 08:00:00,188.091949,54.2053947,41.7005653
23737,2025-09-05 08:15:00,188.4285,52.7893829,41.29359
23738,2025-09-05 08:30:00,188.249329,53.30696,41.13338
23739,2025-09-05 08:45:00,187.931076,53.21078,41.4314575
23740,2025-09-05 09:00:00,188.654388,54.1996956,41.438488
23741,2025-09-05 09:15:00,188.259827,54.5795326,41.32012
23742,2025-09-05 09:30:00,187.954315,54.54958,41.1959
23743,2025-09-05 09:45:00,187.465485,53.71647,41.41962
23744,2025-09-05 10:00:00,186.75322,54.1155319,41.0284958
23745,2025-09-05 10:15:00,187.2874,53.87022,40.9443474
23746,2025-09-05 10:30:00,188.540863,54.15192,41.23168
23747,2025-09-05 10:45:00,186.817612,54.1384621,40.60495
23748,2025-09-05 11:00:00,185.779526,53.68376,40.7835
23749,2025-09-05 11:15:00,183.081451,51.89422,40.167984
23750,2025-09-05 11:30:00,184.115555,52.5830765,40.3409462
23751,2025-09-05 11:45:00,183.7373,53.05954,40.18586
23752,2025-09-05 12:00:00,180.233078,50.97507,39.8820343
23753,2025-09-05 12:15:00,183.4148,52.5157166,40.2156372
23754,2025-09-05 12:30:00,184.684769,53.0997162,40.730957
23755,2025-09-05 12:45:00,182.938889,52.7300529,40.30518
23756,2025-09-05 13:00:00,172.496353,46.7391968,38.56707
23757,2025-09-05 13:15:00,172.229889,46.4850769,37.9876137
23758,2025-09-05 13:30:00,172.006317,45.9703445,37.9865761
23759,2025-09-05 13:45:00,171.661636,46.3814735,37.50373
23760,2025-09-05 14:00:00,169.314575,45.2864952,37.627243
23761,2025-09-05 14:15:00,174.190384,47.2065773,39.2286949
23762,2025-09-05 14:30:00,173.205338,45.7897835,38.3142128
23763,2025-09-05 14:45:00,173.840439,46.44711,38.58509
23764,2025-09-05 15:00:00,178.556244,48.8542061,39.4916344
23765,2025-09-05 15:15:00,172.221863,45.75347,38.5528526
23766,2025-09-05 15:30:00,170.269775,44.9307632,37.8213921
23767,2025-09-05 15:45:00,174.10202,46.82189,38.4885635
23768,2025-09-05 16:00:00,173.261612,45.7581139,38.3829041
23769,2025-09-05 16:15:00,169.692886,43.6558723,37.7124023
23770,2025-09-05 16:30:00,165.64299,42.10857,36.9109573
23771,2025-09-05 16:45:00,173.204483,46.11213,38.33064
23772,2025-09-05 17:00:00,169.541183,44.3543243,37.73296
23773,2025-09-05 17:15:00,169.514709,43.9336052,37.74678
23774,2025-09-05 17:30:00,168.517944,43.3307152,37.3465843
23775,2025-09-05 17:45:00,170.231964,44.6823959,37.52057
23776,2025-09-05 18:00:00,168.706757,43.0571976,37.70898
23777,2025-09-05 18:15:00,170.247925,44.0179062,37.7667274
23778,2025-09-05 18:30:00,165.096558,40.55038,36.7394142
23779,2025-09-05 18:45:00,167.029037,43.01032,37.09259
23780,2025-09-05 19:00:00,165.670135,41.4477158,37.20988
23781,2025-09-05 19:15:00,165.35376,40.66171,36.74433
23782,2025-09-05 19:30:00,174.071548,46.0524025,38.2917633
23783,2025-09-05 19:45:00,172.1269,45.4739761,38.16023
23784,2025-09-05 20:00:00,172.2881,45.0302773,38.10368
23785,2025-09-05 20:15:00,171.252258,45.42268,37.79993
23786,2025-09-05 20:30:00,173.52916,46.5343475,38.40542
23787,2025-09-05 20:45:00,175.191422,46.6851425,38.5607071
23788,2025-09-05 21:00:00,176.024582,47.0878563,38.72526
23789,2025-09-05 21:15:00,177.19397,47.6784744,39.2724953
23790,2025-09-05 21:30:00,176.579239,47.5007858,38.7197876
23791,2025-09-05 21:45:00,176.791367,46.8990669,38.8981934
23792,2025-09-05 22:00:00,178.15509,47.7776756,39.5506439
23793,2025-09-05 22:15:00,175.377655,45.79775,39.159996
23794,2025-09-05 22:30:00,175.360809,46.4961929,38.870636
23795,2025-09-05 22:45:00,165.7581,40.64104,36.78571
23796,2025-09-05 23:00:00,174.926819,46.37605,38.4783936
23797,2025-09-05 23:15:00,177.182571,47.2743874,38.9780464
23798,2025-09-05 23:30:00,178.006744,47.7537537,39.002533
23799,2025-09-05 23:45:00,179.136658,48.0521,39.4393272
23800,2025-09-06 00:00:00,175.207489,45.7464066,38.76812
23801,2025-09-06 00:15:00,173.952682,45.4298058,38.3332176
23802,2025-09-06 00:30:00,169.218262,42.98433,37.5911942
23803,2025-09-06 00:45:00,170.079453,43.30563,37.86061
23804,2025-09-06 01:00:00,171.95668,45.3686752,37.9757423
23805,2025-09-06 01:15:00,173.9496,45.7144852,38.7326851
23806,2025-09-06 01:30:00,177.20668,47.012104,39.11302
23807,2025-09-06 01:45:00,180.348083,49.1061325,39.35017
23808,2025-09-06 02:00:00,178.4163,47.7155952,39.2303429
23809,2025-09-06 02:15:00,177.977966,47.513485,38.9996376
23810,2025-09-06 02:30:00,177.543335,47.2031059,39.4735
23811,2025-09-06 02:45:00,177.132172,47.1261177,39.2623558
23812,2025-09-06 03:00:00,174.99707,45.7325134,38.6587563
23813,2025-09-06 03:15:00,175.423721,45.30161,38.8307266
23814,2025-09-06 03:30:00,178.02182,47.4013939,39.1019936
23815,2025-09-06 03:45:00,181.839417,49.28941,40.42709
23816,2025-09-06 04:00:00,183.120575,50.5118523,40.3766823
23817,2025-09-06 04:15:00,181.494141,49.6183662,39.99807
23818,2025-09-06 04:30:00,181.027283,49.153038,39.93777
23819,2025-09-06 04:45:00,181.304276,49.56243,39.52028
23820,2025-09-06 05:00:00,183.693512,51.5907974,40.18669
23821,2025-09-06 05:15:00,183.07193,50.9989777,40.15836
23822,2025-09-06 05:30:00,183.842178,50.5665741,40.156826
23823,2025-09-06 05:45:00,184.424026,50.9880562,40.3612
23824,2025-09-06 06:00:00,184.832626,52.28017,40.26748
23825,2025-09-06 06:15:00,184.239868,50.94369,40.31163
23826,2025-09-06 06:30:00,181.914734,49.57502,39.9764252
23827,2025-09-06 06:45:00,182.086334,49.8439827,40.4454041
23828,2025-09-06 07:00:00,185.777573,51.6161766,40.68904
23829,2025-09-06 07:15:00,187.186737,52.57459,40.9558372
23830,2025-09-06 07:30:00,186.689941,52.1414261,40.81321
23831,2025-09-06 07:45:00,187.36026,52.4812775,40.98833
23832,2025-09-06 08:00:00,187.610443,53.433754,41.11242
23833,2025-09-06 08:15:00,187.679672,52.6826553,40.5732422
23834,2025-09-06 08:30:00,186.409683,52.6245956,40.9576263
23835,2025-09-06 08:45:00,186.77066,52.4111023,40.7537346
23836,2025-09-06 09:00:00,187.141327,53.0434761,40.9092979
